"SunTrace 2 - Testbook";"Versione app 3.0.0"
"Tester";""
"Data";""
"Browser / versione";""
"Sistema operativo";""
"URL / ambiente";""

"ID";"Area";"Precondizioni";"Passi";"Risultato atteso";"Esito";"Note"
"T01 [e2e]";"Avvio";"App servita da server locale.";"Apri http://localhost:8000, poi vai su app.html.";"L'app carica: mappa scura a destra, pannello a sinistra, nessun errore. Nessuna analisi (stima ""--°C"") finche' non si disegna una stanza.";"";""
"T02";"Avvio";"File del progetto in locale.";"Apri index.html con doppio click (file://).";"L'app risulta non interattiva: e' previsto, va usato il server locale (T01).";"";""
"T03";"Ricerca";"App avviata.";"Scrivi ""Via Giusti Roma"" (almeno 3 caratteri).";"Compaiono suggerimenti di indirizzo sotto il campo.";"";""
"T04 [e2e]";"Ricerca";"Suggerimenti visibili (T03).";"Clicca un suggerimento.";"Il campo si riempie; la mappa NON si sposta ancora (nessuna ricerca).";"";""
"T05/T06 [e2e]";"Ricerca";"Campo compilato.";"1) Premi Invio. 2) Premi ""Vai"".";"Invio non avvia la ricerca. ""Vai"" sposta la mappa e rimuove un'eventuale stanza gia' disegnata.";"";""
"T07";"Ricerca";"App avviata.";"1) Cerca un testo senza risultati (es. xyzxyz). 2) Premi ""Vai"".";"Compare la notifica ""Indirizzo non trovato"".";"";""
"T08";"Disegno";"App avviata, mappa su una citta' italiana.";"1) Clicca 3+ punti per tracciare il perimetro. 2) Clicca vicino al primo punto per chiudere.";"Marker verdi + linea tratteggiata durante il disegno; alla chiusura il perimetro si blocca e parte l'analisi.";"";""
"T40 [e2e]";"Disegno";"App avviata.";"1) Disegna una stanza allungata in una direzione. 2) Rimuovi e ridisegnane una ruotata di 90°.";"La stima cambia tra le due forme: l'orientamento delle pareti conta.";"";""
"T41 [e2e]";"Disegno";"App avviata.";"1) Clicca solo 2 punti. 2) Clicca vicino al primo punto.";"Il poligono NON si chiude (serve almeno un triangolo): il terzo click aggiunge un vertice.";"";""
"T42 [e2e]";"Disegno";"Stanza disegnata e bloccata (T08).";"Clicca il pulsante rimuovi stanza (sotto il pulsante posizione).";"La stanza sparisce, l'analisi torna al placeholder, si puo' ridisegnare subito.";"";""
"T09";"Disegno";"Browser con geolocalizzazione attiva.";"1) Clicca il pulsante posizione. 2) Concedi il permesso.";"La mappa si centra sulla tua posizione. NON analizza da sola: va poi disegnata una stanza.";"";""
"T10";"Disegno";"App avviata.";"Zooma al massimo con ""+"".";"Si raggiunge un livello di zoom profondo (20) senza riquadri grigi.";"";""
"T11 [e2e]";"Confini";"App avviata.";"1) Cerca un indirizzo estero (es. Parigi), premi ""Vai"". 2) Disegna e chiudi una stanza li'.";"Notifica ""Ops! Ci hai scoperto..."", la stanza viene rimossa, la mappa torna a Roma.";"";""
"T12";"Confini";"App avviata.";"Disegna e chiudi una stanza in mare vicino all'Italia (es. Mar Tirreno).";"Notifica ""Qui c'e' solo acqua!"", la stanza viene rimossa, la mappa torna a Roma.";"";""
"T13";"Confini";"App avviata.";"Disegna e chiudi una stanza sulla terraferma in Italia.";"L'analisi procede, nessuna notifica di confine.";"";""
"T35 [e2e]";"Confini";"App avviata.";"1) Cerca Vaticano o San Marino, premi ""Vai"". 2) Disegna e chiudi una stanza li'.";"Nessuna notifica di confine: entrambi contano come Italia.";"";""
"T14 [e2e]";"Tempo";"Stanza disegnata.";"Muovi il cursore del mese.";"L'etichetta del mese e i valori (temperatura, sole) si aggiornano.";"";""
"T15 [e2e]";"Tempo";"Stanza disegnata.";"Muovi il cursore dell'ora.";"Ora, posizione del sole e ombra sulla mappa si aggiornano.";"";""
"T17 [e2e]";"Parametri";"Stanza disegnata.";"Nelle schede ""Tipo di Infissi"" scegli Vetro Singolo.";"Le temperature stagionali e il Comfort Rate si aggiornano.";"";""
"T18 [e2e]";"Parametri";"Stanza disegnata.";"Nelle schede ""Isolamento Muri"" scegli Cappotto Termico, poi Casa Passiva.";"I valori si aggiornano progressivamente; resta selezionata una sola scheda.";"";""
"T32 [e2e]";"Parametri";"Stanza disegnata.";"Verifica selezione singola nelle schede infissi/isolamento.";"Solo una scheda evidenziata per gruppo; Casa Passiva scalda l'inverno piu' di Cappotto.";"";""
"T19";"Parametri";"App avviata.";"Passa il mouse sulle icone info (Dati Solari, Tempo).";"Compare un riquadro con la spiegazione.";"";""
"T20";"OSM";"App avviata.";"Disegna e chiudi una stanza in un centro urbano denso.";"Le pareti a ridosso del perimetro reale dell'edificio restano/diventano esposte; quelle profonde si classificano verso un altro vano, senza saltare tutte a esposte.";"";""
"T30 [e2e]";"OSM";"Edificio molto piu' grande della stanza disegnata.";"1) Disegna una piccola stanza ben dentro l'edificio. 2) Guarda ""Sole diretto"".";"Nessuna parete esposta: mostra ""Sole sull'altro lato"" indipendentemente da mese/ora, su ogni piano tranne il tetto.";"";""
"T39 [e2e]";"Piano";"Stanza del caso T30 (nessuna parete esposta).";"Cambia piano da terra a 5 (tetto).";"Il tetto prende comunque sole. Tornando a un piano normale, ""Sole sull'altro lato"" ricompare.";"";""
"T27 [e2e]";"Piano";"Stanza disegnata in una zona con edifici vicini.";"Sulla barra in alto al centro, cambia il piano da terra a 5.";"La schermatura diminuisce salendo di piano; Comfort Rate e stima aumentano di conseguenza.";"";""
"T28/T29 [e2e]";"Ombra";"Stanza disegnata in una zona con edifici alti.";"1) Ora a mattino presto/tardo pomeriggio, guarda ""Sole diretto"". 2) Ora di notte (es. 02:00).";"Sole basso -> ""In ombra"" se una parete esposta e' bloccata; notte -> ""Sotto l'orizzonte"".";"";""
"T22 [e2e]";"Comfort";"Stanza disegnata.";"Tocca il badge a stelle del Comfort Rate.";"Si apre il dettaglio: inverno/estate, infissi, isolamento, percepita/umidita'/pioggia, esposizione, consiglio.";"";""
"T23";"Comfort";"App avviata.";"1) Disegna una stanza umida del Sud in estate (luglio). 2) Apri il dettaglio.";"""Percepita estate"" e' maggiore della temperatura; puo' comparire il consiglio sull'afa.";"";""
"T37 [e2e]";"Clima";"Stanza disegnata in Italia.";"1) Guarda la scheda ""Clima del Luogo"". 2) Sposta il cursore del mese.";"Umidita', vento, pioggia e percepita mostrano valori reali e cambiano al variare del mese.";"";""
"T33 [e2e]";"Finestra";"App aperta a schermo intero.";"1) Restringi la finestra sotto i 768 px. 2) Disegna una stanza.";"Compare il layout mobile (barra inferiore, drawer, widget); il disegno funziona anche li'.";"";""
"T34 [e2e]";"Finestra";"-";"Apri l'app gia' in una finestra stretta (<768px) o da smartphone.";"Il layout mobile e' presente fin dall'inizio (barra, ""Imposta"", pulsante rimuovi stanza).";"";""
"T38 [e2e]";"Finestra";"-";"Restringi la finestra sotto i 320 px.";"Compare l'avviso a schermo intero ""Ops! SunTrace 2 ha bisogno di spazio..."": l'app non si avvia.";"";""
